step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
10,TRANSFER,67641.85,C200140141,198510.01,130868.16,C257243284,16563.53,84205.38,0,0
18,CASH_OUT,21585.6,C148644109,62154.09,40568.49,C703068400,17926.68,39512.28,0,0
28,CASH_IN,4232.49,C431769776,39884.28,44116.77,C838781242,18306.06,14073.57,0,0
33,PAYMENT,2765.74,C886365312,4218.65,1452.91,M813065972,0.0,0.0,0,0
46,CASH_OUT,32372.51,C541087900,94968.72,62596.21,C760756497,33159.67,65532.18,0,0
48,PAYMENT,625.56,C990626742,6311.82,5686.26,M257277541,0.0,0.0,0,0
55,CASH_IN,2773.87,C271432881,40760.8,43534.67,C480284107,13468.02,10694.15,0,0
61,CASH_OUT,29883.2,C190966348,39946.51,10063.31,C737599912,97900.02,127783.22,0,0
62,CASH_OUT,45646.3,C362935648,105834.08,60187.78,C784523874,1573.18,47219.48,0,0
65,CASH_OUT,18353.07,C645985356,25586.91,7233.84,C460613550,11395.5,29748.57,0,0
69,PAYMENT,117.81,C720230209,824.65,706.84,M798510601,0.0,0.0,0,0
71,TRANSFER,39994.33,C527499187,115983.88,75989.55,C240409084,12101.06,52095.39,0,0
77,CASH_IN,15298.56,C586989309,20619.61,35918.17,C420452650,66857.44,51558.88,0,0
78,CASH_OUT,25829.11,C670292350,40201.75,14372.64,C880179899,93633.61,119462.72,0,0
88,PAYMENT,1744.9,C440419907,7475.52,5730.62,M893158610,0.0,0.0,0,0
96,TRANSFER,53165.09,C790092970,110299.92,57134.83,C473045064,3166.53,56331.62,0,0
98,CASH_IN,4267.77,C873869166,43405.84,47673.61,C565492204,19419.28,15151.51,0,0
99,CASH_OUT,31027.06,C377403790,46690.65,15663.59,C994310083,35444.11,66471.17,0,0
105,PAYMENT,1499.78,C417690559,7048.48,5548.7,M225967304,0.0,0.0,0,0
112,CASH_OUT,25848.1,C812807629,54379.76,28531.66,C873174285,33098.97,58947.07,0,0
117,PAYMENT,866.77,C758819288,6794.98,5928.21,M878488534,0.0,0.0,0,0
117,CASH_IN,19945.44,C460916347,8996.36,28941.8,C686277792,81187.35,61241.91,0,0
120,PAYMENT,2556.57,C756102581,12598.13,10041.56,M893158610,0.0,0.0,0,0
124,DEBIT,405.2,C116944811,433.9,28.7,C238151258,3830.7,4235.9,0,0
130,TRANSFER,11784.85,C970535450,23172.43,11387.58,C496232693,12377.74,24162.59,0,0
137,CASH_OUT,3513.74,C512477736,7472.26,3958.52,C141078352,61031.92,64545.66,0,0
142,CASH_OUT,24384.84,C156263020,50592.66,26207.82,C183197117,91916.1,116300.94,0,0
157,PAYMENT,2851.1,C488896443,9402.24,6551.14,M986485022,0.0,0.0,0,0
158,TRANSFER,8613.42,C958256589,8747.67,134.25,C816014770,15413.37,24026.79,0,0
169,CASH_OUT,31441.19,C436889280,40959.96,9518.77,C365518424,41170.99,72612.18,0,0
172,PAYMENT,3806.48,C709004943,14105.08,10298.6,M703857319,0.0,0.0,0,0
178,CASH_OUT,7100.8,C448717183,11568.34,4467.54,C278158234,45100.1,52200.9,0,0
191,CASH_OUT,4376.14,C705180256,9790.44,5414.3,C416872439,79805.52,84181.66,0,0
201,TRANSFER,749298.15,C972162880,749298.15,0.0,C500856024,0.0,0.0,1,1
206,CASH_OUT,48439.39,C598906879,76674.53,28235.14,C148690765,69495.78,117935.17,0,0
212,CASH_OUT,4971.39,C352082631,12150.02,7178.63,C665791188,45244.72,50216.11,0,0
229,TRANSFER,707743.43,C935292504,707743.43,0.0,C509251149,7735.27,715478.7,1,1
